,Size & Momentum(2X3) Big - Down,Size & Momentum(2X3) Big - Medium,Size & Momentum(2X3x) BIg - Up,Size & Momentum(2X3) Small - Down,Size & Momentum(2X3) Small - Medium,Size & Momentum(2X3) Small - Up,UMD
2000-06-16 00:00:00,-2.52,-0.46,-1.79,-1.51,-0.94,-1.81,0.21500000000000008
2000-06-19 00:00:00,-3.29,0.04,-0.33,-1.64,-0.73,-1.61,1.4949999999999997
2000-06-20 00:00:00,9.21,2.43,4.14,3,1.29,1.43,-3.3200000000000007
2000-06-21 00:00:00,-1.17,-0.58,0.01,0.26,1.3,0.99,0.955
2000-06-22 00:00:00,1.75,-0.9,0.38,0.14,0.39,-0.51,-1.01
2000-06-23 00:00:00,1.02,-0.23,-1.04,-0.43,-0.67,-0.57,-1.1
2000-06-26 00:00:00,1.1,1.21,2.21,2.15,3.54,2.5,0.73
2000-06-27 00:00:00,7.27,2.91,0.72,3.03,1.73,1.35,-4.114999999999999
2000-06-28 00:00:00,-0.88,1.21,1.11,-0.25,0.57,0.31,1.275
2000-06-29 00:00:00,0,-0.3,0.31,0.24,-0.33,-0.88,-0.405
2000-06-30 00:00:00,2.92,1.01,-1.19,0.1,1.15,-0.02,-2.115
2000-07-03 00:00:00,1.96,2.51,0.95,3.89,4.5,1.68,-1.6099999999999999
2000-07-04 00:00:00,-3.97,-1.29,-2.09,0.6,-0.57,1.46,1.37
2000-07-05 00:00:00,4.53,1.38,0.33,-0.81,-1.81,-2.63,-3.01
2000-07-06 00:00:00,2.31,1.89,-0.26,2.05,0.82,-0.11,-2.3649999999999998
2000-07-07 00:00:00,1.91,0.34,0.12,3.76,1.44,0.04,-2.755
2000-07-10 00:00:00,2.98,0.13,1.25,2.37,0.59,1.63,-1.2349999999999999
2000-07-11 00:00:00,0.38,-2.74,-1.71,-0.49,-2.15,-3.14,-2.3699999999999997
2000-07-12 00:00:00,-2.97,0.49,1.02,-1.65,0.23,0.88,3.26
2000-07-13 00:00:00,-0.22,0.41,0.96,-0.35,-0.41,-1,0.26499999999999996
2000-07-14 00:00:00,-3.19,-2.76,-1.45,-1.5,-1.34,-0.54,1.3499999999999996
2000-07-17 00:00:00,-3.19,-2.76,-1.45,-1.5,-1.34,-0.54,1.3499999999999996
2000-07-18 00:00:00,-5.61,-2.59,-0.58,-3.91,-1.44,-0.04,4.45
2000-07-19 00:00:00,1.88,-1.35,-3.11,-3.05,-2.89,-1.37,-1.6550000000000002
2000-07-20 00:00:00,-1.91,-0.6,-3.19,-1.46,-0.71,-0.55,-0.18500000000000005
2000-07-21 00:00:00,1.71,0.83,-0.05,0.78,1.7,2.67,0.06499999999999995
2000-07-24 00:00:00,-6.89,-3.9,-6.61,-4.24,-2.91,0.07,2.2949999999999995
2000-07-25 00:00:00,0.77,1.35,-1.09,0.09,-0.85,-3.77,-2.8600000000000003
2000-07-26 00:00:00,-0.72,0.29,1.35,0.6,1.3,1.32,1.395
2000-07-27 00:00:00,-2.5,0.06,-3.35,0.59,1.36,3.51,1.035
2000-07-28 00:00:00,-2.66,-1.91,-7.19,-1.39,-0.31,-0.55,-1.8450000000000002
2000-07-31 00:00:00,1.38,1.72,2.1,0.6,0.1,-0.44,-0.15999999999999992
2000-08-01 00:00:00,2.55,2.78,3.62,3,3.95,4.98,1.5250000000000008
2000-08-02 00:00:00,0.82,1,-0.34,1.55,0.8,1.05,-0.8300000000000001
2000-08-03 00:00:00,0.06,-1.42,-0.36,0.98,0.76,2.03,0.31499999999999995
2000-08-04 00:00:00,-1.58,-1.61,-1.85,-0.77,-0.87,-1.2,-0.34999999999999987
2000-08-07 00:00:00,-5.27,-3.73,-5.59,-2.18,-1.35,0.27,1.0649999999999995
2000-08-08 00:00:00,-0.41,-1.64,-1.74,0.91,0.99,1.93,-0.15500000000000003
2000-08-09 00:00:00,6.39,5.08,7.6,1.6,1.58,-0.89,-0.6400000000000001
2000-08-10 00:00:00,1.85,2.73,2.71,2.02,1.51,0.53,-0.31499999999999995
2000-08-11 00:00:00,-0.61,-0.71,-1.44,2.79,0.59,-1.06,-2.34
2000-08-14 00:00:00,3.5,1.84,0.33,4.92,3.56,0.18,-3.955
2000-08-15 00:00:00,3.5,1.84,0.33,4.92,3.56,0.18,-3.955
2000-08-16 00:00:00,0.04,2.33,3.31,-0.74,-0.81,0.89,2.45
2000-08-17 00:00:00,-0.91,-1.11,-1.24,-0.88,-0.44,0.62,0.585
2000-08-18 00:00:00,-0.49,-1.12,-3.07,-0.57,-1.04,0.67,-0.6699999999999999
2000-08-21 00:00:00,-1.77,-0.54,-0.92,-0.37,-0.03,1.41,1.315
2000-08-22 00:00:00,1.21,1.96,2.61,-0.15,0.48,0.55,1.05
2000-08-23 00:00:00,-2.08,-2.07,-3.2,-0.09,-1.4,-0.91,-0.9700000000000002
2000-08-24 00:00:00,-0.24,0.1,-0.52,0.23,-1.51,-1.09,-0.8
2000-08-25 00:00:00,0.98,1.2,1.84,0.55,-0.24,-1.54,-0.615
2000-08-28 00:00:00,0.51,0.21,0.83,1.12,1.34,1.91,0.5549999999999998
2000-08-29 00:00:00,1.05,0.42,-0.82,0.56,0.19,-0.64,-1.5350000000000001
2000-08-30 00:00:00,-1.05,-1.41,-2.18,-0.3,-0.1,0.29,-0.27
2000-08-31 00:00:00,-3.03,-2.71,-5.56,-2.96,-1.84,-2.34,-0.9549999999999996
2000-09-01 00:00:00,0.78,0.4,0.33,1.48,1.71,0.49,-0.7199999999999999
2000-09-04 00:00:00,-1.6,-1.73,-1.69,4.41,3.12,-1.31,-2.9050000000000002
2000-09-05 00:00:00,0.74,1.01,-1.38,-1.4,-1.16,-1.08,-0.9
2000-09-06 00:00:00,-0.18,-0.7,-0.35,2.17,1.62,0.58,-0.88
2000-09-07 00:00:00,-2.92,-2.26,-3.85,-0.86,-1.63,-5.17,-2.62
2000-09-08 00:00:00,1.48,-1.5,0.16,-1.39,-1.68,-2.83,-1.38
2000-09-11 00:00:00,1.48,-1.5,0.16,-1.39,-1.68,-2.83,-1.38
2000-09-12 00:00:00,1.48,-1.5,0.16,-1.39,-1.68,-2.83,-1.38
2000-09-13 00:00:00,1.48,-1.5,0.16,-1.39,-1.68,-2.83,-1.38
2000-09-14 00:00:00,1.52,0.82,-1.75,0.74,-0.31,-1.63,-2.82
2000-09-15 00:00:00,-2.79,-3.27,-4.03,-0.04,-0.11,-1.12,-1.1600000000000001
2000-09-18 00:00:00,-10.2,-7.92,-8.26,-8.02,-9.05,-9.11,0.4250000000000007
2000-09-19 00:00:00,-2.89,-3.35,-0.09,2.54,0.49,-5.44,-2.59
2000-09-20 00:00:00,4.39,6,6.58,4.28,4.33,3.14,0.5250000000000004
2000-09-21 00:00:00,-2.32,-1.52,-1.9,-0.78,-1.22,-4.82,-1.8100000000000005
2000-09-22 00:00:00,-4.31,-5.29,-9.25,-6.13,-4.52,-7.38,-3.0949999999999998
2000-09-25 00:00:00,7.03,5.32,5.88,4.56,2.84,1.87,-1.92
2000-09-26 00:00:00,-0.64,1.29,0.35,0.3,2.83,3,1.845
2000-09-27 00:00:00,1.93,1.9,2.57,0.79,2.02,5.55,2.6999999999999997
2000-09-28 00:00:00,0.17,0.39,2.21,-0.21,-0.78,1.05,1.65
2000-09-29 00:00:00,0.98,0.11,2.35,0.91,2.11,3.53,1.9949999999999999
2000-10-02 00:00:00,-2.74,-3.76,-4.34,-0.46,0.62,1.4,0.13000000000000012
2000-10-03 00:00:00,-2.74,-3.76,-4.34,-0.46,0.62,1.4,0.13000000000000012
2000-10-04 00:00:00,1.17,1.7,1.26,2.67,2.18,3.01,0.21499999999999986
2000-10-05 00:00:00,2.55,0.82,2.5,0.36,0.62,2.53,1.0599999999999998
2000-10-06 00:00:00,-1.44,1.13,0.26,-1.22,0.16,0.39,1.655
2000-10-09 00:00:00,-0.55,-2.61,-4.6,-1.16,-0.32,0.74,-1.0749999999999997
2000-10-10 00:00:00,-0.51,-0.03,-0.33,0.29,0.34,-0.11,-0.10999999999999999
2000-10-11 00:00:00,-3.76,-4.43,-7.61,-3,-3.87,-5.04,-2.9450000000000003
2000-10-12 00:00:00,-2.98,-4.9,-3.46,-0.23,0.61,-0.53,-0.3900000000000001
2000-10-13 00:00:00,-3.17,-2.04,-1.96,-2.5,-2.05,-4.5,-0.395
2000-10-16 00:00:00,3.94,4.5,6.49,6.49,6.03,7.34,1.7000000000000002
2000-10-17 00:00:00,-7.94,-5.89,-8.04,-4.75,-2.76,-4.55,0.05000000000000071
2000-10-18 00:00:00,2.47,-0.09,0.21,-0.56,0.32,-1.74,-1.7200000000000002
2000-10-19 00:00:00,-1.85,-1.46,2.83,0.09,0.4,0.74,2.665
2000-10-20 00:00:00,1.63,4.15,9.77,1.28,1.46,2.39,4.625
2000-10-23 00:00:00,-5.5,-3,-3.1,-1.62,-1.72,-1.65,1.185
2000-10-24 00:00:00,2.11,3.6,2.79,1.29,0.45,2.04,0.7150000000000001
2000-10-25 00:00:00,-0.58,0.55,-1.45,-1.01,-0.62,0.12,0.1299999999999999
2000-10-26 00:00:00,-2.58,-1.5,-5.94,-1.69,-2.11,1.22,-0.22500000000000053
2000-10-27 00:00:00,-0.33,-0.77,-3.18,-1.41,-1.63,-2.07,-1.755
2000-10-30 00:00:00,0.37,-1.84,-3.35,-3.46,-4.66,-5.95,-3.1050000000000004
2000-10-31 00:00:00,-0.14,1.72,3.45,-2.05,-1.12,-2.82,1.4100000000000001
2000-11-01 00:00:00,6.23,6.22,6.64,2.39,2.76,3.52,0.7699999999999996
2000-11-02 00:00:00,2.67,2,1.24,2.43,1.07,1.71,-1.0749999999999997
2000-11-03 00:00:00,0.65,-0.45,0.73,1.59,1.33,3.55,1.0199999999999996
2000-11-06 00:00:00,0.53,-1.59,-0.5,1.35,1.79,3.42,0.5199999999999999
2000-11-07 00:00:00,-2.34,-0.92,0.01,-1.13,-0.35,1.45,2.465
2000-11-08 00:00:00,-1.34,0.64,1.45,-2.14,-0.78,1.42,3.1750000000000003
2000-11-09 00:00:00,0.34,1.15,0.15,0.82,1.34,4.84,1.915
2000-11-10 00:00:00,0.79,0.82,0.79,0.55,0.41,-1.02,-0.785
2000-11-13 00:00:00,-4.1,-4.04,-5.02,-2.54,-2.01,-3.08,-0.73
2000-11-14 00:00:00,3.43,2.46,2.49,2.44,2.52,4.77,0.6949999999999998
2000-11-15 00:00:00,0.55,1.04,0.87,1.78,0.69,0.19,-0.635
2000-11-16 00:00:00,0.45,0,-0.7,0.57,0.09,0.56,-0.58
2000-11-17 00:00:00,-0.55,-0.04,-1.03,0.11,0.69,-0.39,-0.48999999999999994
2000-11-20 00:00:00,-1.93,-2.35,-2.66,-0.89,-0.37,0.2,0.17999999999999994
2000-11-21 00:00:00,-2.99,-1.75,-0.67,-1.84,-0.87,0.36,2.26
2000-11-22 00:00:00,-2.22,-1.6,-1.92,0.42,0.34,-1.21,-0.6649999999999998
2000-11-23 00:00:00,-3.77,-1.34,-1.66,-3.99,-3.84,-7.36,-0.6299999999999999
2000-11-24 00:00:00,4.25,3.49,2.88,1.13,1.2,-0.11,-1.305
2000-11-27 00:00:00,3.33,2.15,5.55,2.65,2.71,4.24,1.9049999999999994
