,Size & Book Value(2X3) Big - High,Size & Book Value(2X3) Big - Low,Size & Book Value(2X3) Big - Medium,Size & Book Value(2X3) Small - High,Size & Book Value(2X3) Small - Low,Size & Book Value(2X3) Small - Medium,SMB,HML
2000-06-15 00:00:00,-6.91,-6.55,-4.66,-3.65,-7.78,-2.47,-1.4066666666666663,1.8849999999999998
2000-06-16 00:00:00,-1.33,-1.69,-0.62,-0.24,-0.02,-1.78,-0.5333333333333333,0.06999999999999995
2000-06-19 00:00:00,-1.02,-0.5,-0.2,-1.15,-0.79,-0.27,0.16333333333333333,-0.43999999999999995
2000-06-20 00:00:00,3.89,3.88,4.18,1.78,2.71,0.76,2.233333333333333,-0.45999999999999996
2000-06-21 00:00:00,1.08,-0.47,-1.14,1.5,2.32,2.7,-2.35,0.3650000000000001
2000-06-22 00:00:00,0.71,0.66,-1.41,0.86,-0.63,-1.8,0.51,0.7699999999999999
2000-06-23 00:00:00,0.76,-0.87,-0.1,-0.44,0.91,-0.64,-0.013333333333333329,0.13999999999999999
2000-06-26 00:00:00,0.77,1.97,1.15,1.1,2.81,1.78,-0.6000000000000001,-1.455
2000-06-27 00:00:00,1.93,1.86,3.65,0.09,0.4,1.29,1.8866666666666667,-0.1200000000000001
2000-06-28 00:00:00,-0.36,1.32,0.7,-0.06,-0.87,-0.19,0.9266666666666666,-0.43500000000000005
2000-06-29 00:00:00,-1.71,0.42,-0.19,-1.53,-0.43,-0.52,0.3333333333333333,-1.6150000000000002
2000-06-30 00:00:00,0.88,-0.35,1.25,-0.3,-1.01,-0.11,1.0666666666666669,0.97
2000-07-03 00:00:00,2.7,0.73,1.98,3.86,3.1,3.44,-1.6633333333333333,1.3650000000000002
2000-07-04 00:00:00,-1.18,-2.75,-1.83,0.65,0.56,0.21,-2.393333333333333,0.8300000000000001
2000-07-05 00:00:00,0.62,-1.32,1.79,-1.08,-3.18,-1.36,2.2366666666666664,2.02
2000-07-06 00:00:00,3.73,0.18,0.34,1.81,0.16,0.69,0.53,2.6
2000-07-07 00:00:00,3.8,-0.28,0.23,1.7,0.99,2.38,-0.4400000000000004,2.395
2000-07-10 00:00:00,-0.56,0.51,1.45,0.95,0.71,2.23,-0.8300000000000001,-0.41500000000000004
2000-07-11 00:00:00,-1.07,-2.31,-1.86,-1.43,-3.62,-1.21,0.33999999999999964,1.7149999999999999
2000-07-12 00:00:00,-1.28,1.16,0.51,-0.81,0.55,-0.53,0.3933333333333333,-1.9
2000-07-13 00:00:00,0.25,0.4,0.57,-1.43,-0.35,-0.21,1.0699999999999998,-0.615
2000-07-14 00:00:00,-2.1,-1.04,-2.53,-1.13,-0.91,-1.57,-0.6866666666666665,-0.6399999999999999
2000-07-17 00:00:00,-2.1,-1.04,-2.53,-1.13,-0.91,-1.57,-0.6866666666666665,-0.6399999999999999
2000-07-18 00:00:00,-3.03,-0.79,-2.32,-1.05,-1.93,-1.74,-0.47333333333333316,-0.6800000000000002
2000-07-19 00:00:00,-1.86,-3.64,-1.76,-1.52,-3.48,-2.24,-0.0066666666666663765,1.87
2000-07-20 00:00:00,-0.77,-1.02,-2.72,-1.65,-0.24,-0.9,-0.5733333333333331,-0.58
2000-07-21 00:00:00,0.35,-0.72,1,1.45,2.03,2,-1.6166666666666665,0.245
2000-07-24 00:00:00,-5.18,-6.48,-5.45,-2.78,-2.15,-1.63,-3.5166666666666666,0.33500000000000085
2000-07-25 00:00:00,0.02,0.07,0.05,-1.36,-1.31,-1.82,1.5433333333333334,-0.050000000000000044
