,CP91,CD91
26/06/2001 0:00,5.63,5.58
27/06/2001 0:00,5.62,5.57
28/06/2001 0:00,5.62,5.57
29/06/2001 0:00,5.62,5.57
02/07/2001 0:00,5.61,5.56
03/07/2001 0:00,5.61,5.55
04/07/2001 0:00,5.6,5.53
05/07/2001 0:00,5.6,5.5
06/07/2001 0:00,5.57,5.46
09/07/2001 0:00,5.53,5.44
10/07/2001 0:00,5.5,5.43
11/07/2001 0:00,5.48,5.41
12/07/2001 0:00,5.46,5.38
13/07/2001 0:00,5.45,5.37
16/07/2001 0:00,5.44,5.35
17/07/2001 0:00,5.44,5.35
18/07/2001 0:00,5.42,5.33
19/07/2001 0:00,5.4,5.29
20/07/2001 0:00,5.38,5.22
23/07/2001 0:00,5.33,5.17
24/07/2001 0:00,5.31,5.16
25/07/2001 0:00,5.29,5.14
26/07/2001 0:00,5.27,5.12
27/07/2001 0:00,5.26,5.11
30/07/2001 0:00,5.23,5.11
31/07/2001 0:00,5.23,5.14
01/08/2001 0:00,5.21,5.13
02/08/2001 0:00,5.2,5.12
03/08/2001 0:00,5.19,5.11
06/08/2001 0:00,5.18,5.1
07/08/2001 0:00,5.17,5.1
08/08/2001 0:00,5.16,5.1
09/08/2001 0:00,5.12,5
10/08/2001 0:00,5.01,4.9
13/08/2001 0:00,4.97,4.84
14/08/2001 0:00,4.95,4.84
15/08/2001 0:00,4.95,4.84
16/08/2001 0:00,4.92,4.86
17/08/2001 0:00,4.91,4.85
20/08/2001 0:00,4.9,4.84
21/08/2001 0:00,4.9,4.84
22/08/2001 0:00,4.9,4.83
23/08/2001 0:00,4.9,4.82
24/08/2001 0:00,4.9,4.82
27/08/2001 0:00,4.9,4.82
28/08/2001 0:00,4.9,4.82
29/08/2001 0:00,4.9,4.81
30/08/2001 0:00,4.9,4.82
31/08/2001 0:00,4.9,4.81
03/09/2001 0:00,4.9,4.8
04/09/2001 0:00,4.9,4.8
05/09/2001 0:00,4.9,4.81
06/09/2001 0:00,4.9,4.81
07/09/2001 0:00,4.9,4.81
10/09/2001 0:00,4.9,4.81
11/09/2001 0:00,4.91,4.81
12/09/2001 0:00,4.91,4.81
13/09/2001 0:00,4.91,4.81
14/09/2001 0:00,4.91,4.81
17/09/2001 0:00,4.91,4.81
18/09/2001 0:00,4.91,4.81
19/09/2001 0:00,4.64,4.54
20/09/2001 0:00,4.64,4.49
21/09/2001 0:00,4.62,4.47
24/09/2001 0:00,4.63,4.44
25/09/2001 0:00,4.63,4.43
26/09/2001 0:00,4.63,4.42
27/09/2001 0:00,4.62,4.42
28/09/2001 0:00,4.62,4.41
01/10/2001 0:00,4.62,4.41
02/10/2001 0:00,4.62,4.41
03/10/2001 0:00,4.62,4.41
04/10/2001 0:00,4.58,4.37
05/10/2001 0:00,4.53,4.34
08/10/2001 0:00,4.52,4.29
09/10/2001 0:00,4.5,4.26
10/10/2001 0:00,4.5,4.26
11/10/2001 0:00,4.51,4.27
12/10/2001 0:00,4.53,4.38
15/10/2001 0:00,4.54,4.36
16/10/2001 0:00,4.53,4.37
17/10/2001 0:00,4.53,4.38
18/10/2001 0:00,4.54,4.39
19/10/2001 0:00,4.54,4.37
22/10/2001 0:00,4.54,4.37
23/10/2001 0:00,4.53,4.36
24/10/2001 0:00,4.53,4.37
25/10/2001 0:00,4.53,4.38
26/10/2001 0:00,4.53,4.39
29/10/2001 0:00,4.53,4.39
30/10/2001 0:00,4.53,4.39
31/10/2001 0:00,4.54,4.38
01/11/2001 0:00,4.54,4.38
02/11/2001 0:00,4.54,4.38
05/11/2001 0:00,4.54,4.39
06/11/2001 0:00,4.54,4.39
07/11/2001 0:00,4.54,4.38
08/11/2001 0:00,4.54,4.39
09/11/2001 0:00,4.54,4.39
12/11/2001 0:00,4.54,4.39
13/11/2001 0:00,4.54,4.39
14/11/2001 0:00,4.55,4.45
15/11/2001 0:00,4.59,4.53
16/11/2001 0:00,4.63,4.57
19/11/2001 0:00,4.64,4.59
20/11/2001 0:00,4.65,4.59
21/11/2001 0:00,4.67,4.61
22/11/2001 0:00,4.71,4.65
23/11/2001 0:00,4.76,4.66
26/11/2001 0:00,4.83,4.69
27/11/2001 0:00,4.9,4.74
28/11/2001 0:00,4.9,4.75
29/11/2001 0:00,4.91,4.76
30/11/2001 0:00,4.91,4.76
03/12/2001 0:00,4.91,4.76
04/12/2001 0:00,4.9,4.76
05/12/2001 0:00,4.9,4.77
06/12/2001 0:00,4.93,4.83
07/12/2001 0:00,4.94,4.83
10/12/2001 0:00,4.99,4.87
11/12/2001 0:00,4.99,4.88
12/12/2001 0:00,5,4.89
13/12/2001 0:00,5,4.87
14/12/2001 0:00,5,4.87
17/12/2001 0:00,5,4.87
18/12/2001 0:00,5,4.86
19/12/2001 0:00,5,4.86
20/12/2001 0:00,5,4.86
21/12/2001 0:00,5,4.86
24/12/2001 0:00,5,4.86
25/12/2001 0:00,5,4.86
26/12/2001 0:00,5,4.85
27/12/2001 0:00,5,4.86
28/12/2001 0:00,5.01,4.86
31/12/2001 0:00,5.01,4.86
01/01/2002 0:00,5.01,4.86
02/01/2002 0:00,5.03,4.87
03/01/2002 0:00,5.04,4.88
04/01/2002 0:00,5.04,4.88
07/01/2002 0:00,5.04,4.88
08/01/2002 0:00,5.02,4.88
09/01/2002 0:00,5.01,4.88
10/01/2002 0:00,4.99,4.87
11/01/2002 0:00,4.99,4.86
14/01/2002 0:00,4.94,4.84
15/01/2002 0:00,4.9,4.81
16/01/2002 0:00,4.88,4.79
17/01/2002 0:00,4.86,4.77
18/01/2002 0:00,4.84,4.76
21/01/2002 0:00,4.82,4.75
22/01/2002 0:00,4.82,4.75
23/01/2002 0:00,4.8,4.74
24/01/2002 0:00,4.79,4.71
25/01/2002 0:00,4.79,4.7
28/01/2002 0:00,4.77,4.7
29/01/2002 0:00,4.76,4.69
30/01/2002 0:00,4.75,4.68
31/01/2002 0:00,4.74,4.67
01/02/2002 0:00,4.73,4.65
04/02/2002 0:00,4.71,4.64
05/02/2002 0:00,4.7,4.61
06/02/2002 0:00,4.68,4.6
07/02/2002 0:00,4.67,4.59
08/02/2002 0:00,4.65,4.55
11/02/2002 0:00,4.65,4.55
12/02/2002 0:00,4.65,4.55
13/02/2002 0:00,4.65,4.55
14/02/2002 0:00,4.65,4.54
15/02/2002 0:00,4.63,4.53
18/02/2002 0:00,4.61,4.51
19/02/2002 0:00,4.6,4.5
20/02/2002 0:00,4.6,4.5
21/02/2002 0:00,4.59,4.49
22/02/2002 0:00,4.59,4.49
25/02/2002 0:00,4.58,4.48
26/02/2002 0:00,4.57,4.47
27/02/2002 0:00,4.56,4.47
28/02/2002 0:00,4.55,4.45
01/03/2002 0:00,4.55,4.45
04/03/2002 0:00,4.56,4.45
05/03/2002 0:00,4.55,4.45
06/03/2002 0:00,4.56,4.46
07/03/2002 0:00,4.56,4.45
08/03/2002 0:00,4.6,4.49
11/03/2002 0:00,4.62,4.5
12/03/2002 0:00,4.63,4.5
13/03/2002 0:00,4.67,4.54
14/03/2002 0:00,4.7,4.55
15/03/2002 0:00,4.74,4.6
18/03/2002 0:00,4.77,4.61
19/03/2002 0:00,4.87,4.7
20/03/2002 0:00,4.9,4.77
21/03/2002 0:00,4.97,4.8
22/03/2002 0:00,4.98,4.8
25/03/2002 0:00,4.98,4.82
